,TTPs
0,"'T1484.002', 'T1071.001', 'T1053.005', 'T1036', 'T1584.001', 'T1195.002', 'T1606.001', 'T1016.001', 'T1105', 'T1114.002', 'T1070.004', 'T1069', 'T1082', 'T1074.002', 'T1190', 'T1552.004', 'T1482', 'T1003.006', 'T1140', 'T1558.003', 'T1568', 'T1562.002', 'T1059.001', 'T1560.001', 'T1562.004', 'T1021.006', 'T1562.001', 'T1036.005', 'T1059.003', 'T1587.001', 'T1048.002', 'T1098.002', 'T1550.004', 'T1133', 'T1070.006', 'T1098.001', 'T1583.001', 'T1018', 'T1027', 'T1036.004', 'T1606.002', 'T1553.002', 'T1087', 'T1218.011', 'T1057', 'T1047', 'T1078', 'T1546.003', 'T1070', 'T1005', 'T1090.001', 'T1555', 'T1083', 'T1550'"
1,"'T1588.002', 'T1003.001', 'T1587.001', 'T1585.001', 'T1557.002'"
2,"'T1021.005', 'T1021.004'"
3,"'T1053.005', 'T1033', 'T1070.004', 'T1059.003', 'T1518.001', 'T1566.001', 'T1557.001', 'T1547.001', 'T1018', 'T1078.002', 'T1112', 'T1569.002', 'T1074', 'T1048.003', 'T1547.004', 'T1021.002', 'T1087.002', 'T1135', 'T1071.001', 'T1566.002', 'T1003.003', 'T1021.001', 'T1082', 'T1558.003', 'T1543.003', 'T1047', 'T1222.001', 'T1489', 'T1588.003', 'T1041', 'T1588.002', 'T1204.002', 'T1078', 'T1059.001', 'T1133', 'T1553.002', 'T1027', 'T1570', 'T1562.001', 'T1036.004', 'T1021.006', 'T1204.001', 'T1003.002', 'T1210', 'T1016', 'T1055.001'"
4,"'T1071', 'T1564.003', 'T1560.001', 'T1586.002', 'T1059.003', 'T1113', 'T1583.001', 'T1595.002', 'T1583.006', 'T1114.001', 'T1070.004', 'T1102.002', 'T1059.005', 'T1105', 'T1056.001', 'T1204.001', 'T1114', 'T1043', 'T1057', 'T1033', 'T1588.002', 'T1547.001', 'T1098.002', 'T1589.001', 'T1566.002', 'T1585.001', 'T1071.001', 'T1598.003', 'T1189', 'T1589.002', 'T1571', 'T1566.003', 'T1016', 'T1003.001', 'T1585.002', 'T1027', 'T1083', 'T1204.002', 'T1082', 'T1190', 'T1589', 'T1065', 'T1584.001', 'T1059.001'"
5,"'T1119', 'T1560.002', 'T1543.003', 'T1078', 'T1003.002', 'T1574.001', 'T1574.002', 'T1548.002', 'T1133', 'T1074.002', 'T1055.012', 'T1074.001', 'T1567.002', 'T1608.002', 'T1555.005', 'T1012', 'T1047', 'T1046', 'T1053.002', 'T1112', 'T1070.004', 'T1105', 'T1027.002', 'T1059.001', 'T1203', 'T1547.001', 'T1140', 'T1588.002', 'T1016', 'T1003.001', 'T1018', 'T1068', 'T1003.004', 'T1030', 'T1056.001', 'T1043', 'T1204.002', 'T1608.004', 'T1071.001', 'T1562.002', 'T1033', 'T1189', 'T1070.005', 'T1199', 'T1195.002', 'T1190', 'T1027', 'T1505.003', 'T1087.001', 'T1021.006', 'T1566.001', 'T1049', 'T1210', 'T1059.003', 'T1005', 'T1608.001'"
6,"'T1113', 'T1553.002', 'T1218.001', 'T1059.003', 'T1027', 'T1090.002', 'T1106', 'T1055', 'T1059.001', 'T1021.001', 'T1125', 'T1059.007', 'T1059.005', 'T1053.005', 'T1036.005', 'T1003.001', 'T1018', 'T1105', 'T1072', 'T1588.002', 'T1070.004', 'T1204.002', 'T1547.001', 'T1569.002', 'T1078', 'T1566.001', 'T1112', 'T1571'"
7,"'T1124', 'T1021.001', 'T1065', 'T1090.001', 'T1059.001', 'T1620', 'T1587.001', 'T1591.004', 'T1202', 'T1491.001', 'T1105', 'T1562.004', 'T1566.002', 'T1036.004', 'T1561.001', 'T1104', 'T1046', 'T1218.011', 'T1021.004', 'T1049', 'T1204.002', 'T1543.003', 'T1561.002', 'T1021.002', 'T1534', 'T1584.001', 'T1134.002', 'T1041', 'T1547.009', 'T1110.003', 'T1087.002', 'T1082', 'T1588.002', 'T1036.003', 'T1584.004', 'T1016', 'T1485', 'T1560.002', 'T1001.003', 'T1098', 'T1110', 'T1497.001', 'T1593.001', 'T1566.003', 'T1585.002', 'T1220', 'T1036.005', 'T1585.001', 'T1048.003', 'T1614.001', 'T1542.003', 'T1562.001', 'T1026', 'T1059.005', 'T1218.005', 'T1547.001', 'T1071.001', 'T1589.002', 'T1218', 'T1055.001', 'T1583.004', 'T1027.002', 'T1203', 'T1106', 'T1189', 'T1043', 'T1074.001', 'T1591', 'T1529', 'T1078', 'T1012', 'T1588.003', 'T1560.003', 'T1574.002', 'T1053.005', 'T1132.001', 'T1140', 'T1090.002', 'T1564.001', 'T1070.006', 'T1608.001', 'T1070.004', 'T1036', 'T1056.001', 'T1583.001', 'T1567.002', 'T1005', 'T1010', 'T1583.006', 'T1070.003', 'T1553.002', 'T1608.002', 'T1033', 'T1070', 'T1573.001', 'T1059.003', 'T1588.004', 'T1204.001', 'T1221', 'T1560', 'T1557.001', 'T1027', 'T1047', 'T1102.002', 'T1574.013', 'T1057', 'T1566.001', 'T1083', 'T1571', 'T1218.010', 'T1008', 'T1489'"
8,"'T1133', 'T1105', 'T1574.001', 'T1588.002', 'T1071.004', 'T1056.001', 'T1218.011', 'T1071.002', 'T1083', 'T1203', 'T1008', 'T1070.001', 'T1542.003', 'T1480.001', 'T1547.001', 'T1574.002', 'T1218.001', 'T1195.002', 'T1049', 'T1036.005', 'T1104', 'T1070.004', 'T1112', 'T1055', 'T1070.003', 'T1560.001', 'T1021.001', 'T1496', 'T1486', 'T1102.001', 'T1059.003', 'T1046', 'T1569.002', 'T1110.002', 'T1546.008', 'T1003.001', 'T1053.005', 'T1553.002', 'T1135', 'T1014', 'T1574.006', 'T1566.001', 'T1027', 'T1190', 'T1059.004', 'T1036.004', 'T1197', 'T1136.001', 'T1021.002', 'T1568.002', 'T1047', 'T1543.003', 'T1078', 'T1090', 'T1071.001', 'T1016', 'T1005', 'T1059.001', 'T1033'"
9,"'T1588.003', 'T1566.001', 'T1588.002', 'T1566.002', 'T1204.002', 'T1046', 'T1021.004', 'T1204.001', 'T1190', 'T1203', 'T1588.004', 'T1574.002', 'T1036.002', 'T1106'"
